Player;Tm;Opp;Res;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;Data
DaQuan Jeffries;NYK;NOP;L;3.27;2;2;1.0;1;1;1.0;0;0;0.0;0;1;1;0;0;0;0;0;5;4.7;28/10/2023
Thomas Bryant;MIA;MIN;L;11.55;2;4;0.5;0;0;0.0;1;2;0.5;3;2;5;1;0;0;1;1;5;4.6;28/10/2023
Luka Samanic;UTA;PHO;L;6.03;2;4;0.5;1;1;1.0;0;0;0.0;0;1;1;0;1;0;0;0;5;4.3;28/10/2023
Andrew Nembhard;IND;CLE;W;25.0;2;5;0.4;0;2;0.0;0;0;0.0;0;2;2;4;2;0;1;4;4;4.1;28/10/2023
Josh Okogie;PHO;UTA;W;23.25;2;4;0.5;0;2;0.0;3;3;1.0;0;1;1;0;0;0;0;3;7;4.1;28/10/2023
Bruce Brown;IND;CLE;W;32.18;3;8;0.375;0;1;0.0;0;0;0.0;0;4;4;2;1;0;0;3;6;4.0;28/10/2023
Malachi Flynn;TOR;PHI;L;12.72;2;4;0.5;2;2;1.0;1;1;1.0;0;0;0;2;1;0;3;1;7;4.0;28/10/2023
Jaime Jaquez;MIA;MIN;L;18.23;3;4;0.75;1;2;0.5;0;0;0.0;0;3;3;1;0;0;3;0;7;4.0;28/10/2023
Cole Swider;MIA;MIN;L;2.03;2;3;0.667;1;2;0.5;0;0;0.0;0;1;1;0;0;0;0;0;5;4.0;28/10/2023
Jordan McLaughlin;MIN;MIA;W;6.02;1;3;0.333;1;1;1.0;0;0;0.0;0;0;0;4;0;0;0;1;3;3.7;28/10/2023
Patrick Beverley;PHI;TOR;W;16.97;1;2;0.5;0;0;0.0;0;0;0.0;3;2;5;2;0;0;1;2;2;3.3;28/10/2023
Josh Hart;NYK;NOP;L;21.45;1;5;0.2;1;3;0.333;0;0;0.0;2;8;10;2;1;0;2;2;3;3.3;28/10/2023
Mike Muscala;WAS;MEM;W;11.12;1;1;1.0;0;0;0.0;0;0;0.0;0;3;3;2;0;0;0;2;2;3.2;28/10/2023
Saben Lee;PHO;UTA;W;4.08;1;2;0.5;0;1;0.0;0;0;0.0;0;0;0;2;0;1;0;0;2;3.1;28/10/2023
Immanuel Quickley;NYK;NOP;L;19.07;4;9;0.444;0;3;0.0;2;2;1.0;0;1;1;1;0;0;2;3;10;3.1;28/10/2023
Marcus Sasser;DET;CHI;W;5.97;1;2;0.5;0;1;0.0;0;0;0.0;1;2;3;1;0;0;0;0;2;3.0;28/10/2023
Dylan Windler;NYK;NOP;L;3.27;1;1;1.0;1;1;1.0;0;0;0.0;0;0;0;1;0;0;0;1;3;3.0;28/10/2023
Kris Dunn;UTA;PHO;L;19.98;2;7;0.286;0;1;0.0;0;0;0.0;0;2;2;3;2;0;1;2;4;2.8;28/10/2023
Paul Reed;PHI;TOR;W;12.65;2;4;0.5;0;0;0.0;0;0;0.0;2;3;5;0;1;0;1;4;4;2.7;28/10/2023
Dalen Terry;CHI;DET;L;1.18;1;1;1.0;1;1;1.0;0;0;0.0;0;0;0;0;0;0;0;0;3;2.7;28/10/2023
Udoka Azubuike;PHO;UTA;W;6.03;1;1;1.0;0;0;0.0;0;0;0.0;0;3;3;0;0;0;0;0;2;2.6;28/10/2023
Obi Toppin;IND;CLE;W;18.0;2;5;0.4;0;1;0.0;0;0;0.0;2;2;4;0;0;1;1;1;4;2.6;28/10/2023
Donte DiVincenzo;NYK;NOP;L;19.67;2;7;0.286;1;5;0.2;0;0;0.0;2;2;4;1;2;0;2;3;5;2.4;28/10/2023
Quentin Grimes;NYK;NOP;L;26.5;2;9;0.222;1;6;0.167;0;0;0.0;0;2;2;1;2;0;0;1;5;2.4;28/10/2023
Georges Niang;CLE;IND;L;18.77;3;10;0.3;1;4;0.25;0;0;0.0;1;2;3;2;0;1;1;3;7;2.4;28/10/2023
Duncan Robinson;MIA;MIN;L;28.83;3;12;0.25;2;10;0.2;0;0;0.0;1;2;3;1;1;0;1;1;8;2.4;28/10/2023
Kyle Lowry;MIA;MIN;L;32.37;1;6;0.167;1;5;0.2;0;0;0.0;1;3;4;7;1;0;4;1;3;2.3;28/10/2023
Miles McBride;NYK;NOP;L;4.52;1;3;0.333;0;2;0.0;0;0;0.0;0;1;1;1;1;0;0;0;2;2.3;28/10/2023
Nassir Little;PHO;UTA;W;20.65;3;8;0.375;0;5;0.0;0;0;0.0;0;1;1;0;1;0;0;2;6;2.1;28/10/2023
Keita Bates-Diop;PHO;UTA;W;6.03;1;2;0.5;0;0;0.0;0;0;0.0;0;1;1;1;0;0;0;0;2;2.0;28/10/2023
Chris Boucher;TOR;PHI;L;11.7;1;6;0.167;0;2;0.0;3;3;1.0;1;3;4;0;1;0;1;2;5;2.0;28/10/2023
Joe Harris;DET;CHI;W;10.52;1;2;0.5;1;2;0.5;0;0;0.0;0;1;1;1;0;0;1;0;3;2.0;28/10/2023
Chimezie Metu;PHO;UTA;W;2.58;1;2;0.5;0;0;0.0;0;0;0.0;0;1;1;1;0;0;0;0;2;2.0;28/10/2023
Damian Jones;CLE;IND;L;5.78;0;0;0.0;0;0;0.0;0;0;0.0;2;1;3;0;0;0;0;0;0;1.7;28/10/2023
Nickeil Alexander-Walker;MIN;MIA;W;22.78;2;8;0.25;1;6;0.167;0;0;0.0;0;3;3;3;1;2;3;3;5;1.4;28/10/2023
Larry Nance;NOP;NYK;W;16.25;0;1;0.0;0;0;0.0;0;0;0.0;1;5;6;0;0;1;0;2;0;1.4;28/10/2023
P.J. Tucker;PHI;TOR;W;21.2;1;1;1.0;1;1;1.0;0;0;0.0;0;3;3;0;0;0;1;3;3;1.4;28/10/2023
Sam Merrill;CLE;IND;L;5.88;0;2;0.0;0;1;0.0;0;0;0.0;1;1;2;1;1;0;0;0;0;1.3;28/10/2023
Matt Ryan;NOP;NYK;W;25.72;1;8;0.125;1;8;0.125;0;0;0.0;0;3;3;3;1;1;0;3;3;1.3;28/10/2023
Danuel House;PHI;TOR;W;11.55;1;3;0.333;0;1;0.0;0;0;0.0;0;2;2;0;0;1;0;1;2;1.2;28/10/2023
Jericho Sims;NYK;NOP;L;4.52;0;0;0.0;0;0;0.0;0;0;0.0;0;3;3;0;0;0;0;0;0;0.9;28/10/2023
Torrey Craig;CHI;DET;L;22.87;2;7;0.286;0;2;0.0;0;0;0.0;1;2;3;0;0;1;0;3;4;0.7;28/10/2023
De'Anthony Melton;PHI;TOR;W;31.78;1;7;0.143;0;4;0.0;0;0;0.0;0;5;5;4;1;1;2;2;2;0.7;28/10/2023
Craig Porter;CLE;IND;L;3.65;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0;1;0;0;0;0;0;0.7;28/10/2023
Jake LaRavia;MEM;WAS;L;15.58;2;9;0.222;1;5;0.2;0;0;0.0;0;1;1;1;0;0;0;0;5;0.5;28/10/2023
Kira Lewis;NOP;NYK;W;10.17;1;4;0.25;0;2;0.0;0;0;0.0;0;2;2;0;0;0;0;0;2;0.2;28/10/2023
Ochai Agbaji;UTA;PHO;L;6.37;0;1;0.0;0;1;0.0;0;0;0.0;0;0;0;0;0;1;0;0;0;0.0;28/10/2023
Jalen McDaniels;TOR;PHI;L;2.77;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;28/10/2023
Julian Phillips;CHI;DET;L;1.18;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;28/10/2023
Terry Taylor;CHI;DET;L;1.18;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;28/10/2023
Stanley Umude;DET;CHI;W;0.7;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;28/10/2023
Jevon Carter;CHI;DET;L;12.73;1;6;0.167;1;4;0.25;0;0;0.0;1;0;1;0;0;0;0;0;3;-0.1;28/10/2023
E.J. Liddell;NOP;NYK;W;2.47;0;1;0.0;0;1;0.0;0;0;0.0;0;2;2;0;0;0;0;0;0;-0.1;28/10/2023
Jonas Valanciunas;NOP;NYK;W;20.98;3;7;0.429;0;1;0.0;2;2;1.0;0;4;4;0;0;0;4;4;8;-0.1;28/10/2023
Leonard Miller;MIN;MIA;W;1.92;0;1;0.0;0;0;0.0;0;0;0.0;0;1;1;0;0;0;0;0;0;-0.4;28/10/2023
Orlando Robinson;MIA;MIN;L;3.55;0;2;0.0;0;0;0.0;0;0;0.0;0;1;1;0;0;1;0;0;0;-0.4;28/10/2023
Cody Zeller;NOP;NYK;W;7.73;0;1;0.0;0;0;0.0;0;0;0.0;0;1;1;0;0;0;0;0;0;-0.4;28/10/2023
Emoni Bates;CLE;IND;L;6.5;0;1;0.0;0;1;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;-0.7;28/10/2023
R.J. Hampton;MIA;MIN;L;2.03;0;1;0.0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;-0.7;28/10/2023
Josh Minott;MIN;MIA;W;1.92;0;2;0.0;0;1;0.0;0;0;0.0;0;0;0;0;0;1;0;0;0;-0.7;28/10/2023
Walker Kessler;UTA;PHO;L;23.47;1;4;0.25;0;2;0.0;0;0;0.0;2;3;5;1;0;1;3;3;2;-0.9;28/10/2023
Bol Bol;PHO;UTA;W;4.08;0;0;0.0;0;0;0.0;0;0;0.0;0;1;1;0;0;1;2;0;0;-1.0;28/10/2023
Danny Green;PHI;TOR;W;4.77;0;1;0.0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;1;0;-1.1;28/10/2023
Shake Milton;MIN;MIA;W;17.45;1;4;0.25;0;2;0.0;0;1;0.0;0;1;1;2;0;0;2;0;2;-1.1;28/10/2023
Talen Horton-Tucker;UTA;PHO;L;16.27;1;7;0.143;0;3;0.0;2;4;0.5;0;0;0;1;1;0;0;4;4;-1.2;28/10/2023
Patrick Williams;CHI;DET;L;21.32;0;3;0.0;0;1;0.0;0;0;0.0;1;2;3;1;1;0;1;3;0;-1.3;28/10/2023
Troy Brown;MIN;MIA;W;14.5;0;2;0.0;0;2;0.0;0;0;0.0;0;2;2;1;1;0;2;1;0;-1.5;28/10/2023
Dyson Daniels;NOP;NYK;W;21.77;1;7;0.143;0;3;0.0;0;4;0.0;0;4;4;3;1;0;1;2;2;-1.6;28/10/2023
Bilal Coulibaly;WAS;MEM;W;14.22;0;2;0.0;0;1;0.0;0;0;0.0;0;1;1;0;0;1;1;1;0;-1.8;28/10/2023
Kenneth Lofton;MEM;WAS;L;5.2;0;1;0.0;0;0;0.0;0;0;0.0;0;0;0;1;0;0;1;2;0;-1.8;28/10/2023
Julius Randle;NYK;NOP;L;33.7;4;15;0.267;0;5;0.0;2;2;1.0;0;12;12;4;0;0;8;4;10;-2.1;28/10/2023
Jordan Clarkson;UTA;PHO;L;21.67;3;10;0.3;0;3;0.0;1;1;1.0;1;1;2;2;0;0;5;3;7;-2.6;28/10/2023
Coby White;CHI;DET;L;27.92;0;4;0.0;0;2;0.0;0;0;0.0;0;2;2;1;0;0;1;1;0;-2.9;28/10/2023
Joel Embiid;PHI;POR;W;29.42;12;22;0.545;2;4;0.5;9;12;0.75;5;10;15;7;2;6;3;3;35;36.6;29/10/2023
Anthony Davis;LAL;SAC;L;41.68;11;22;0.5;1;2;0.5;7;8;0.875;6;10;16;2;2;3;0;5;30;29.3;29/10/2023
De'Aaron Fox;SAC;LAL;W;34.25;14;24;0.583;3;8;0.375;6;8;0.75;1;3;4;8;1;1;3;5;37;28.9;29/10/2023
Giannis Antetokounmpo;MIL;ATL;L;29.47;9;14;0.643;0;1;0.0;8;10;0.8;5;6;11;3;1;2;3;2;26;25.0;29/10/2023
Nikola Jokic;DEN;OKC;W;29.87;12;16;0.75;1;2;0.5;3;3;1.0;2;12;14;5;0;0;4;3;28;24.9;29/10/2023
Tyrese Maxey;PHI;POR;W;34.72;6;14;0.429;4;8;0.5;10;10;1.0;1;9;10;4;0;0;2;1;26;22.4;29/10/2023
Stephen Curry;GSW;HOU;W;31.42;6;16;0.375;6;14;0.429;6;6;1.0;1;6;7;6;0;1;1;1;24;21.2;29/10/2023
Tobias Harris;PHI;POR;W;37.73;8;11;0.727;2;4;0.5;6;7;0.857;0;5;5;2;1;2;3;3;24;20.2;29/10/2023
Paul George;LAC;SAS;W;27.8;8;17;0.471;2;7;0.286;1;1;1.0;1;3;4;5;5;0;1;1;19;19.0;29/10/2023
Alperen Sengun;HOU;GSW;L;33.18;7;15;0.467;1;2;0.5;4;4;1.0;4;1;5;7;0;0;0;3;19;18.1;29/10/2023
LeBron James;LAL;SAC;L;39.08;11;19;0.579;3;8;0.375;2;6;0.333;0;15;15;8;0;0;8;2;27;17.8;29/10/2023
Trae Young;ATL;MIL;W;32.03;5;14;0.357;3;8;0.375;7;9;0.778;0;3;3;11;1;0;3;1;20;17.6;29/10/2023
Gary Payton;GSW;HOU;W;18.73;6;8;0.75;3;4;0.75;0;0;0.0;0;4;4;1;3;1;0;1;15;17.0;29/10/2023
Christian Braun;DEN;OKC;W;21.17;4;9;0.444;0;2;0.0;5;5;1.0;1;6;7;7;1;1;0;2;13;16.6;29/10/2023
Bogdan  Bogdanovic;ATL;MIL;W;26.32;6;10;0.6;4;7;0.571;1;1;1.0;0;1;1;6;2;0;2;1;17;16.5;29/10/2023
Michael Porter;DEN;OKC;W;24.65;8;14;0.571;4;7;0.571;0;0;0.0;3;6;9;2;0;0;1;3;20;16.5;29/10/2023
Keegan Murray;SAC;LAL;W;33.22;6;14;0.429;3;9;0.333;2;3;0.667;3;5;8;5;2;1;1;4;17;16.4;29/10/2023
Peyton Watson;DEN;OKC;W;21.6;8;11;0.727;1;3;0.333;0;0;0.0;1;3;4;1;1;1;0;1;17;16.1;29/10/2023
Kawhi Leonard;LAC;SAS;W;27.8;6;13;0.462;3;7;0.429;6;7;0.857;0;3;3;4;2;0;3;2;21;15.8;29/10/2023
Russell Westbrook;LAC;SAS;W;26.67;8;13;0.615;3;5;0.6;0;3;0.0;1;7;8;3;1;1;2;3;19;15.3;29/10/2023
D'Angelo Russell;LAL;SAC;L;40.63;5;13;0.385;1;5;0.2;6;7;0.857;0;3;3;9;0;0;0;4;17;15.1;29/10/2023
Jamal Murray;DEN;OKC;W;29.92;9;14;0.643;1;1;1.0;0;0;0.0;1;1;2;8;0;0;4;1;19;15.0;29/10/2023
Jabari Smith;HOU;GSW;L;34.13;6;12;0.5;2;6;0.333;0;0;0.0;2;6;8;5;2;0;1;3;14;14.5;29/10/2023
Ivica Zubac;LAC;SAS;W;22.48;6;7;0.857;0;0;0.0;4;6;0.667;2;6;8;0;0;1;1;4;16;14.0;29/10/2023
De'Anthony Melton;PHI;POR;W;30.55;4;9;0.444;1;2;0.5;3;3;1.0;0;2;2;8;2;0;1;2;12;13.7;29/10/2023
Chet Holmgren;OKC;DEN;L;25.57;7;12;0.583;1;4;0.25;4;4;1.0;2;2;4;0;0;0;1;2;19;13.6;29/10/2023
Malik Monk;SAC;LAL;W;24.7;7;17;0.412;4;9;0.444;4;5;0.8;1;2;3;3;0;0;2;1;22;13.5;29/10/2023
Klay Thompson;GSW;HOU;W;29.25;7;12;0.583;5;10;0.5;0;0;0.0;1;3;4;0;0;1;1;3;19;13.5;29/10/2023
Jalen Williams;OKC;DEN;L;27.77;6;9;0.667;0;1;0.0;1;1;1.0;0;3;3;5;0;1;0;2;13;13.4;29/10/2023
Malcolm Brogdon;POR;PHI;L;25.85;7;16;0.438;2;6;0.333;2;2;1.0;1;4;5;5;1;0;2;2;18;13.2;29/10/2023
De'Andre Hunter;ATL;MIL;W;24.27;6;10;0.6;2;4;0.5;1;1;1.0;1;2;3;1;4;0;2;3;15;13.2;29/10/2023
Saddiq Bey;ATL;MIL;W;30.98;4;9;0.444;1;3;0.333;4;5;0.8;3;6;9;3;0;0;1;0;13;12.9;29/10/2023
Clint Capela;ATL;MIL;W;23.03;5;10;0.5;0;0;0.0;2;2;1.0;2;10;12;1;1;0;0;1;12;12.7;29/10/2023
Onyeka Okongwu;ATL;MIL;W;22.63;7;11;0.636;0;2;0.0;0;0;0.0;4;3;7;2;1;0;1;4;14;12.6;29/10/2023
Dejounte Murray;ATL;MIL;W;29.73;6;12;0.5;1;5;0.2;2;2;1.0;0;1;1;5;2;1;3;0;15;12.5;29/10/2023
Shaedon Sharpe;POR;PHI;L;35.63;7;13;0.538;2;4;0.5;4;5;0.8;1;4;5;2;0;0;3;3;20;12.4;29/10/2023
Jabari Walker;POR;PHI;L;24.4;4;9;0.444;1;3;0.333;3;3;1.0;3;4;7;1;4;1;2;4;12;12.4;29/10/2023
Malik Beasley;MIL;ATL;L;31.63;6;12;0.5;4;10;0.4;2;4;0.5;1;3;4;1;2;0;2;3;18;12.3;29/10/2023
Christian Wood;LAL;SAC;L;13.83;3;3;1.0;2;2;1.0;3;3;1.0;0;5;5;1;0;0;0;0;11;12.3;29/10/2023
Jalen Johnson;ATL;MIL;W;25.7;6;10;0.6;2;3;0.667;0;0;0.0;1;6;7;1;2;1;2;4;14;11.7;29/10/2023
Domantas Sabonis;SAC;LAL;W;34.0;5;8;0.625;1;1;1.0;1;3;0.333;1;14;15;5;1;0;3;6;12;11.6;29/10/2023
Taurean Prince;LAL;SAC;L;41.38;7;17;0.412;5;13;0.385;1;2;0.5;0;3;3;2;0;1;1;3;20;11.3;29/10/2023
Norman Powell;LAC;SAS;W;19.1;5;11;0.455;2;5;0.4;1;2;0.5;1;2;3;1;2;1;0;1;13;11.2;29/10/2023
Cedi Osman;SAS;LAC;L;16.68;4;7;0.571;2;4;0.5;2;2;1.0;0;1;1;1;1;1;0;1;12;11.0;29/10/2023
Robert Williams;POR;PHI;L;25.7;2;3;0.667;0;0;0.0;2;2;1.0;2;5;7;2;2;2;1;2;6;10.6;29/10/2023
Rui Hachimura;LAL;SAC;L;17.27;3;6;0.5;2;4;0.5;3;4;0.75;2;4;6;1;0;0;0;1;11;10.5;29/10/2023
Tre Mann;OKC;DEN;L;8.23;5;7;0.714;1;2;0.5;1;1;1.0;1;3;4;1;0;0;1;0;12;10.4;29/10/2023
Brook Lopez;MIL;ATL;L;20.42;5;11;0.455;2;5;0.4;1;1;1.0;1;2;3;1;1;0;0;0;13;10.3;29/10/2023
Jalen Green;HOU;GSW;L;38.08;8;20;0.4;1;5;0.2;4;5;0.8;1;8;9;1;0;1;4;1;21;9.9;29/10/2023
Kevin Huerter;SAC;LAL;W;36.62;4;12;0.333;3;7;0.429;1;2;0.5;0;7;7;4;0;2;0;3;12;9.9;29/10/2023
Deandre Ayton;POR;PHI;L;20.62;3;7;0.429;0;0;0.0;1;1;1.0;2;7;9;2;2;1;0;3;7;9.7;29/10/2023
Chris Paul;GSW;HOU;W;27.42;3;8;0.375;0;3;0.0;2;2;1.0;0;5;5;7;1;0;1;1;8;9.6;29/10/2023
Cason Wallace;OKC;DEN;L;21.93;3;3;1.0;1;1;1.0;0;0;0.0;1;2;3;1;1;1;0;1;7;9.4;29/10/2023
Aaron Gordon;DEN;OKC;W;23.08;4;7;0.571;0;1;0.0;1;3;0.333;1;2;3;2;1;3;1;1;9;9.3;29/10/2023
Bones Hyland;LAC;SAS;W;21.33;7;14;0.5;4;8;0.5;0;0;0.0;0;3;3;1;1;0;4;1;18;9.2;29/10/2023
Jerami Grant;POR;PHI;L;27.9;5;16;0.313;1;4;0.25;6;7;0.857;2;3;5;1;0;2;2;2;17;9.0;29/10/2023
Kelly Oubre;PHI;POR;W;25.75;3;10;0.3;0;4;0.0;6;6;1.0;1;2;3;0;2;1;1;1;12;8.8;29/10/2023
Aleksandar Vezenkov;SAC;LAL;W;18.35;4;10;0.4;2;6;0.333;1;1;1.0;0;4;4;1;0;1;0;0;11;8.2;29/10/2023
Jae'Sean Tate;HOU;GSW;L;21.68;2;6;0.333;0;2;0.0;2;2;1.0;2;6;8;1;2;2;1;2;6;8.1;29/10/2023
Kevon Looney;GSW;HOU;W;26.83;2;3;0.667;0;0;0.0;1;2;0.5;2;9;11;1;1;1;1;2;5;8.0;29/10/2023
Charles Bassey;SAS;LAC;L;16.25;3;4;0.75;0;0;0.0;0;0;0.0;1;4;5;1;1;1;0;2;6;7.9;29/10/2023
Luguentz Dort;OKC;DEN;L;20.72;3;7;0.429;1;5;0.2;3;3;1.0;1;0;1;0;1;1;0;2;10;7.9;29/10/2023
Devin Vassell;SAS;LAC;L;27.82;6;10;0.6;1;3;0.333;1;1;1.0;0;1;1;0;1;0;2;2;14;7.9;29/10/2023
Amen Thompson;HOU;GSW;L;19.53;3;5;0.6;1;2;0.5;2;2;1.0;0;4;4;0;1;0;0;3;9;7.7;29/10/2023
Dillon Brooks;HOU;GSW;L;34.0;4;10;0.4;2;5;0.4;2;2;1.0;0;4;4;2;0;0;0;5;12;7.2;29/10/2023
Kenyon Martin;LAC;SAS;W;17.78;4;6;0.667;1;3;0.333;1;2;0.5;0;2;2;0;1;1;2;1;10;6.9;29/10/2023
A.J. Green;MIL;ATL;L;5.62;2;2;1.0;2;2;1.0;1;1;1.0;0;1;1;0;0;0;0;0;7;6.7;29/10/2023
Julian Strawther;DEN;OKC;W;7.57;3;5;0.6;2;3;0.667;0;0;0.0;0;1;1;1;0;0;0;0;8;6.7;29/10/2023
Dario Saric;GSW;HOU;W;21.17;1;6;0.167;1;3;0.333;1;2;0.5;3;5;8;5;0;1;1;0;4;6.6;29/10/2023
Reggie Jackson;DEN;OKC;W;22.0;2;3;0.667;1;2;0.5;0;0;0.0;0;0;0;6;2;0;2;4;5;6.3;29/10/2023
Bobby Portis;MIL;ATL;L;21.02;5;10;0.5;0;2;0.0;2;2;1.0;1;3;4;2;0;0;3;2;12;6.2;29/10/2023
Kentavious Caldwell-Pope;DEN;OKC;W;29.87;2;5;0.4;1;4;0.25;2;2;1.0;0;3;3;1;2;0;1;2;7;6.1;29/10/2023
Toumani Camara;POR;PHI;L;27.67;5;16;0.313;1;5;0.2;1;2;0.5;3;0;3;2;0;2;0;3;12;6.1;29/10/2023
AJ Griffin;ATL;MIL;W;9.5;2;3;0.667;2;2;1.0;0;0;0.0;1;0;1;1;1;0;1;0;6;6.1;29/10/2023
Doug McDermott;SAS;LAC;L;14.72;3;6;0.5;2;4;0.5;0;0;0.0;0;3;3;2;0;0;0;3;8;6.1;29/10/2023
Patrick Beverley;PHI;POR;W;20.45;2;3;0.667;0;0;0.0;0;0;0.0;1;1;2;2;1;3;1;3;4;6.0;29/10/2023
Mason Plumlee;LAC;SAS;W;20.68;2;3;0.667;0;0;0.0;0;0;0.0;2;4;6;1;0;0;0;0;4;6.0;29/10/2023
Jeff Green;HOU;GSW;L;21.02;2;7;0.286;0;2;0.0;2;2;1.0;1;2;3;2;0;1;0;0;6;5.3;29/10/2023
Harrison Barnes;SAC;LAL;W;38.6;3;9;0.333;0;4;0.0;2;2;1.0;0;2;2;2;0;1;0;1;8;5.2;29/10/2023
Kobe Brown;LAC;SAS;W;4.83;1;2;0.5;1;2;0.5;0;0;0.0;0;4;4;1;1;0;0;1;3;4.5;29/10/2023
Andrew Wiggins;GSW;HOU;W;28.2;4;10;0.4;1;3;0.333;4;5;0.8;0;0;0;0;0;0;2;2;13;4.4;29/10/2023
MarJon Beauchamp;MIL;ATL;L;16.13;3;5;0.6;2;2;1.0;0;0;0.0;1;0;1;0;0;0;1;3;8;4.2;29/10/2023
P.J. Tucker;PHI;POR;W;19.57;1;2;0.5;1;2;0.5;0;0;0.0;0;4;4;0;1;2;1;1;3;4.2;29/10/2023
Robert Covington;LAC;SAS;W;26.48;0;1;0.0;0;1;0.0;0;0;0.0;1;2;3;3;1;1;0;1;0;4.0;29/10/2023
Isaiah Joe;OKC;DEN;L;16.7;2;7;0.286;1;4;0.25;0;0;0.0;0;2;2;1;4;0;1;3;5;4.0;29/10/2023
Victor Wembanyama;SAS;LAC;L;26.27;4;10;0.4;0;2;0.0;3;6;0.5;1;4;5;2;1;1;5;1;11;4.0;29/10/2023
Jaxson Hayes;LAL;SAC;L;7.18;1;1;1.0;0;0;0.0;2;2;1.0;0;2;2;0;0;0;0;1;4;3.9;29/10/2023
JaVale McGee;SAC;LAL;W;15.48;2;2;1.0;0;0;0.0;0;0;0.0;0;0;0;0;1;1;1;1;4;3.7;29/10/2023
Fred VanVleet;HOU;GSW;L;32.33;2;13;0.154;2;7;0.286;2;2;1.0;0;0;0;4;2;0;0;2;8;3.7;29/10/2023
Josh Giddey;OKC;DEN;L;21.92;4;13;0.308;1;2;0.5;0;0;0.0;1;1;2;3;1;0;2;0;9;3.6;29/10/2023
Danuel House;PHI;POR;W;10.27;1;2;0.5;0;1;0.0;0;0;0.0;1;1;2;2;1;0;1;0;2;3.4;29/10/2023
Davion Mitchell;SAC;LAL;W;15.5;2;4;0.5;1;2;0.5;0;0;0.0;0;2;2;2;0;0;0;4;5;3.4;29/10/2023
Furkan Korkmaz;PHI;POR;W;2.68;1;1;1.0;1;1;1.0;1;2;0.5;0;0;0;0;0;0;0;0;4;3.3;29/10/2023
Aaron Wiggins;OKC;DEN;L;10.13;2;3;0.667;0;1;0.0;1;2;0.5;0;0;0;0;0;0;0;0;5;3.3;29/10/2023
Moses Moody;GSW;HOU;W;17.47;1;6;0.167;1;5;0.2;2;2;1.0;0;3;3;1;0;1;0;1;5;3.1;29/10/2023
Cameron Payne;MIL;ATL;L;14.4;2;3;0.667;2;3;0.667;0;0;0.0;0;1;1;1;0;0;1;4;6;3.1;29/10/2023
Jae Crowder;MIL;ATL;L;25.95;1;4;0.25;0;3;0.0;0;0;0.0;0;3;3;3;0;1;0;1;2;2.9;29/10/2023
Shai Gilgeous-Alexander;OKC;DEN;L;28.32;2;16;0.125;0;4;0.0;3;4;0.75;1;3;4;7;1;0;0;2;7;2.9;29/10/2023
Pat Connaughton;MIL;ATL;L;23.32;2;9;0.222;1;6;0.167;0;0;0.0;1;2;3;2;2;0;1;1;5;2.8;29/10/2023
Ousmane Dieng;OKC;DEN;L;19.23;2;8;0.25;0;5;0.0;1;1;1.0;0;5;5;1;0;0;0;0;5;2.4;29/10/2023
Chris Duarte;SAC;LAL;W;14.07;2;4;0.5;0;2;0.0;0;0;0.0;0;2;2;0;1;0;0;3;4;2.4;29/10/2023
Zach Collins;SAS;LAC;L;24.83;4;11;0.364;1;4;0.25;0;0;0.0;1;5;6;4;0;0;5;2;9;2.1;29/10/2023
Jonathan Kuminga;GSW;HOU;W;18.8;3;8;0.375;1;3;0.333;2;3;0.667;0;2;2;1;1;0;3;4;9;1.9;29/10/2023
Draymond Green;GSW;HOU;W;20.72;2;4;0.5;0;0;0.0;0;1;0.0;1;4;5;5;0;0;4;3;4;1.8;29/10/2023
Tre Jones;SAS;LAC;L;20.03;1;4;0.25;1;2;0.5;2;2;1.0;0;2;2;4;1;0;4;3;5;1.8;29/10/2023
Robin Lopez;MIL;ATL;L;5.62;0;0;0.0;0;0;0.0;2;2;1.0;0;0;0;1;0;0;1;0;2;1.7;29/10/2023
Sandro Mamukelashvili;SAS;LAC;L;6.92;0;0;0.0;0;0;0.0;0;0;0.0;1;1;2;0;1;0;0;1;0;1.6;29/10/2023
Braxton Key;DEN;OKC;W;3.32;1;2;0.5;0;1;0.0;0;0;0.0;0;1;1;0;0;0;0;0;2;1.3;29/10/2023
Malaki Branham;SAS;LAC;L;21.03;3;12;0.25;2;4;0.5;1;1;1.0;0;1;1;2;1;0;3;1;9;1.1;29/10/2023
Moussa Diabaté;LAC;SAS;W;4.83;0;0;0.0;0;0;0.0;0;0;0.0;1;0;1;2;0;0;1;0;0;1.1;29/10/2023
Gabe Vincent;LAL;SAC;L;31.57;1;3;0.333;0;2;0.0;0;0;0.0;0;0;0;2;1;0;0;4;2;1.1;29/10/2023
