Player;Tm;Opp;Res;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;Data
Kyle Kuzma;WAS;IND;L;24.87;9;18;0.5;1;4;0.25;6;6;1.0;1;1;2;0;0;2;0;0;25;18.4;25/10/2023
Jalen Duren;DET;MIA;L;31.82;8;11;0.727;0;0;0.0;1;3;0.333;6;8;14;4;0;4;4;4;17;18.3;25/10/2023
Cole Anthony;ORL;HOU;W;24.08;8;12;0.667;1;2;0.5;3;3;1.0;1;7;8;2;0;0;0;2;20;18.2;25/10/2023
Tre Jones;SAS;DAL;L;25.1;5;7;0.714;2;3;0.667;4;4;1.0;1;4;5;6;0;0;1;0;16;18.2;25/10/2023
P.J. Washington;CHO;ATL;W;31.8;12;18;0.667;1;6;0.167;0;0;0.0;1;4;5;2;0;0;1;4;25;17.9;25/10/2023
Jordan Clarkson;UTA;SAC;L;30.73;8;16;0.5;2;5;0.4;6;8;0.75;2;2;4;6;0;0;2;4;24;17.8;25/10/2023
Kawhi Leonard;LAC;POR;W;28.72;9;17;0.529;5;5;1.0;0;0;0.0;1;4;5;6;1;1;4;2;23;17.7;25/10/2023
Dereck Lively;DAL;SAS;W;30.67;7;8;0.875;0;0;0.0;2;3;0.667;5;5;10;1;1;1;1;4;16;17.6;25/10/2023
OG Anunoby;TOR;MIN;W;33.8;7;13;0.538;4;9;0.444;2;2;1.0;0;6;6;1;2;3;2;2;20;17.5;25/10/2023
Isaac Okoro;CLE;BRK;W;31.63;6;10;0.6;2;4;0.5;4;5;0.8;3;3;6;4;2;1;2;5;18;17.5;25/10/2023
Devin Vassell;SAS;DAL;L;35.25;9;17;0.529;1;6;0.167;4;5;0.8;1;4;5;3;2;0;2;2;23;17.5;25/10/2023
Mikal Bridges;BRK;CLE;L;35.18;6;12;0.5;0;2;0.0;8;9;0.889;2;4;6;4;3;0;3;4;20;17.4;25/10/2023
Dennis Schröder;TOR;MIN;W;32.55;8;17;0.471;4;8;0.5;2;2;1.0;1;2;3;7;0;0;2;1;22;17.1;25/10/2023
Rudy Gobert;MIN;TOR;L;32.0;6;12;0.5;0;0;0.0;3;5;0.6;5;8;13;1;2;4;2;3;15;16.4;25/10/2023
Terry Rozier;CHO;ATL;W;34.35;7;16;0.438;2;7;0.286;8;12;0.667;1;4;5;6;0;0;3;2;24;16.3;25/10/2023
Zion Williamson;NOP;MEM;W;31.72;9;17;0.529;0;0;0.0;5;7;0.714;4;3;7;3;0;0;3;1;23;16.3;25/10/2023
Lauri Markkanen;UTA;SAC;L;31.6;6;15;0.4;2;6;0.333;5;6;0.833;2;8;10;1;2;0;1;1;19;15.6;25/10/2023
Anfernee Simons;POR;LAC;L;27.37;6;14;0.429;2;6;0.333;4;4;1.0;1;1;2;4;2;0;0;2;18;15.6;25/10/2023
John Collins;UTA;SAC;L;30.93;6;11;0.545;1;3;0.333;2;2;1.0;3;8;11;2;1;0;0;3;15;15.4;25/10/2023
Malcolm Brogdon;POR;LAC;L;22.65;8;16;0.5;3;5;0.6;1;1;1.0;0;2;2;5;0;0;1;0;20;15.1;25/10/2023
Clint Capela;ATL;CHO;L;28.63;6;10;0.6;0;0;0.0;3;4;0.75;6;7;13;0;1;0;2;1;15;14.9;25/10/2023
Scottie Barnes;TOR;MIN;W;37.05;6;16;0.375;1;4;0.25;4;6;0.667;1;7;8;5;2;5;4;1;17;14.8;25/10/2023
Anthony Edwards;MIN;TOR;L;38.3;8;27;0.296;4;7;0.571;6;6;1.0;5;9;14;1;0;0;2;1;26;14.8;25/10/2023
Tyus Jones;WAS;IND;L;28.33;7;12;0.583;2;4;0.5;0;1;0.0;1;2;3;6;1;1;2;1;16;14.8;25/10/2023
Tim Hardaway;DAL;SAS;W;27.92;5;14;0.357;3;10;0.3;4;4;1.0;2;4;6;4;1;0;1;0;17;14.6;25/10/2023
Russell Westbrook;LAC;POR;W;28.8;5;8;0.625;1;2;0.5;0;0;0.0;2;3;5;13;0;0;3;3;11;14.6;25/10/2023
RJ Barrett;NYK;BOS;L;36.32;8;20;0.4;2;5;0.4;6;7;0.857;1;2;3;2;1;0;2;0;24;14.5;25/10/2023
Buddy Hield;IND;WAS;W;25.1;5;9;0.556;4;7;0.571;0;0;0.0;0;2;2;5;1;1;1;0;14;14.5;25/10/2023
